lsof: WARNING: can't stat() vmhgfs file system /Volumes/VMware Shared Folders
      Output information may be incomplete.
      assuming "dev=33000002" from mount table
COMMAND    PID   USER   FD   TYPE             DEVICE SIZE/OFF                NODE NAME
python3.7 1380 runner  txt    REG                1,4    28572         12893124100 /usr/local/miniconda/lib/python3.7/lib-dynload/mmap.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4    13536         12893134821 /usr/local/miniconda/lib/python3.7/site-packages/numpy/core/_operand_flag_tests.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4    17956         12893124075 /usr/local/miniconda/lib/python3.7/lib-dynload/_queue.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4   129764         12893124084 /usr/local/miniconda/lib/python3.7/lib-dynload/_ssl.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4   538860         12893124023 /usr/local/miniconda/lib/libssl.1.1.dylib
python3.7 1380 runner  txt    REG                1,4    16128         12893124077 /usr/local/miniconda/lib/python3.7/lib-dynload/_scproxy.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4    13768         12893134823 /usr/local/miniconda/lib/python3.7/site-packages/numpy/core/_struct_ufunc_tests.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4    41780         12893124096 /usr/local/miniconda/lib/python3.7/lib-dynload/cmath.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4    20444         12893124108 /usr/local/miniconda/lib/python3.7/lib-dynload/termios.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4      160         12893138064 /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpt6_7_vo2
python3.7 1380 runner  txt    REG                1,4   171232         12891739608 /usr/local/miniconda/lib/python3.7/site-packages/_cffi_backend.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4   262164         12893124103 /usr/local/miniconda/lib/python3.7/lib-dynload/pyexpat.cpython-37m-darwin.so
python3.7 1380 runner  txt    REG                1,4  1568368 1152921500312899604 /usr/lib/dyld
python3.7 1380 runner    0   PIPE 0xceb898bcad398973    16384
python3.7 1380 runner    1   PIPE 0xe88391d08adf368f    65536                     ->0xff6e2faf57a81150
python3.7 1380 runner    2   PIPE 0x590b43d7c0ca7945    16384                     ->0x37d3f8e5c729229e
python3.7 1380 runner    3r   CHR               14,1  0t27584                 586 /dev/urandom
python3.7 1380 runner    4   PIPE 0x8f906b3253d4a8b6    16384                     ->0x7fc1f421784607ca
python3.7 1380 runner   16r   REG                1,4      160         12893138064 /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpt6_7_vo2
